filename,category,z3_time,fuzzer_time
1_absx.json,UNSAT,0.3363666534423828,40.44867134094238
2_path1.json,UNSAT,0.008751153945922852,0.0
3_test000033.json,UNSAT,0.15715885162353516,20.229656219482422
4_test000034.json,UNSAT,0.17808127403259277,20.229833364486694
5_test000013.json,UNSAT,0.23842644691467285,20.23011326789856
6_test000030.json,UNSAT,0.1888105869293213,20.229425191879272
7_test000035.json,UNSAT,0.11146783828735352,20.22919487953186
8_test000010.json,UNSAT,0.23125672340393066,20.230294466018677
9_test000011.json,UNSAT,0.16822290420532227,20.22914719581604
10_test000031.json,UNSAT,0.18990874290466309,20.23070240020752
11_test000032.json,UNSAT,0.16989588737487793,20.21910262107849
12_test000012.json,UNSAT,0.31971001625061035,20.22774910926819
13_test000008.json,UNSAT,0.0017580986022949219,0.0
14_test000009.json,UNSAT,0.7193131446838379,20.22995686531067
15_test1.json,UNSAT,0.002477407455444336,0.0
16_test2.json,UNSAT,0.005152702331542969,0.0
17_test3.json,UNSAT,0.3663146495819092,40.45012831687927
18_test4.json,UNSAT,0.44061756134033203,20.232031106948853
19_test6.json,UNSAT,0.1576521396636963,20.22948670387268
20_test3.json,UNSAT,0.18081307411193848,20.230459451675415
21_test4.json,UNSAT,0.25180768966674805,40.449578285217285
22_test6.json,UNSAT,0.33782076835632324,20.229772090911865
23_test1.json,UNSAT,0.002576589584350586,0.0
24_test2.json,UNSAT,0.005380153656005859,0.0
25_max_2.json,UNSAT,0.3766653537750244,60.668808460235596
26_max_3.json,UNKNOWN,,
27_vlsat3_d57.json,UNSAT,0.047775983810424805,0.0
28_vlsat3_j02.json,UNSAT,0.043889760971069336,0.0
29_max_4.json,UNSAT,1.5591278076171875,80.89255094528198
30_max_5.json,UNKNOWN,,
31_max_6.json,UNKNOWN,,
32_max_12.json,UNKNOWN,,
33_test000033.json,UNSAT,0.17058062553405762,20.230371952056885
34_test000034.json,UNSAT,0.15815114974975586,20.229912757873535
35_test000013.json,UNSAT,0.23604178428649902,20.230250358581543
36_test000030.json,UNSAT,0.14567852020263672,20.23046588897705
37_test000035.json,UNSAT,0.5305454730987549,20.230619192123413
38_test000010.json,UNSAT,0.3102684020996094,20.229179620742798
39_test000011.json,UNSAT,0.34978437423706055,20.22915029525757
40_test000031.json,UNSAT,0.35799193382263184,20.229469299316406
41_test000032.json,UNSAT,0.33748340606689453,20.231966972351074
42_test000012.json,UNSAT,0.5907711982727051,20.231384754180908
43_test000008.json,UNSAT,0.40491485595703125,20.230192184448242
44_test000009.json,UNSAT,0.26030850410461426,40.830570220947266
45_test000033.json,UNSAT,0.15088248252868652,20.23005747795105
46_test000034.json,UNSAT,0.12595677375793457,20.229382038116455
47_test000013.json,UNSAT,0.1469571590423584,20.22878336906433
48_test000030.json,UNSAT,0.10241413116455078,20.226183891296387
49_test000035.json,UNSAT,0.11918044090270996,20.229655265808105
50_test000010.json,UNSAT,0.15367436408996582,20.22897171974182
51_test000011.json,UNSAT,0.1242523193359375,20.230551719665527
52_test000031.json,UNSAT,0.17737698554992676,20.228973388671875
53_test000032.json,UNSAT,0.18251633644104004,20.229637622833252
54_test000012.json,UNSAT,0.140427827835083,20.22839069366455
55_test000009.json,UNSAT,0.15212035179138184,20.22868537902832
56_test1.json,UNSAT,0.0025725364685058594,0.0
57_test2.json,UNSAT,0.005232334136962891,0.0
58_test3.json,UNSAT,0.4717838764190674,20.231208086013794
59_test4.json,UNSAT,0.38035035133361816,20.23181390762329
60_test6.json,UNSAT,0.28996777534484863,20.2304265499115
61_test2.json,UNSAT,1.233255386352539,20.23678755760193
62_test4.json,UNSAT,1.2483930587768555,20.230127811431885
63_test3.json,UNSAT,1.061065673828125,20.228435039520264
64_test1.json,UNKNOWN,,
65_test2.json,UNSAT,1.2727577686309814,20.22692346572876
66_test4.json,UNSAT,0.9058291912078857,20.23125958442688
67_test3.json,UNSAT,1.24281907081604,20.22977113723755
68_test1.json,UNSAT,1.5563318729400635,20.229474782943726
69_test2.json,UNSAT,0.8921270370483398,20.23083472251892
70_test4.json,UNSAT,2.642767906188965,20.231523036956787
71_test3.json,UNSAT,2.4468719959259033,20.231764793395996
72_test1.json,UNKNOWN,,
73_test2.json,UNSAT,1.5661203861236572,20.228687286376953
74_test3.json,UNSAT,0.42644381523132324,20.228644371032715
75_test1.json,UNSAT,0.41303443908691406,20.22784972190857
76_f82f64d707e960e38d22a06001b2747c750fe7af.json,UNKNOWN,,
77_prime.oracle.json,UNSAT,0.001313924789428711,0.0
78_traffic_e7_348.ec.json,UNSAT,0.015067338943481445,0.0
